DATE,TAVG,TMAX,TMIN,WDFG,WSFG,PRCP,SNOW,PRDICTT
20160101,-2.3,-0.3,-4.2,25,46,0.8,8,-2
20160102,-2,0.3,-4.3,23,44,0,0,-5
20160103,-5,1.6,-11.6,34,54,0,0,-13.3
20160104,-13.3,-11.2,-15.4,2,37,0,0,-8.9
20160105,-8.9,-2.6,-15.2,23,32,0,0,-2.2
20160106,-2.2,2.4,-6.8,23,32,0,0,-0.5
20160107,-0.5,4.4,-5.3,0,0,0,0,-0.8
20160108,-0.8,4.1,-5.6,0,0,2.8,0,5.7
20160109,5.7,8.6,2.8,0,0,2,0,0.2
20160110,0.2,6.8,-6.5,28,85,18.4,2,-8.2
20160111,-8.2,-5.9,-10.5,27,65,0.2,0,-5.8
20160112,-5.8,-1.9,-9.7,28,65,4.4,50,-8.8
20160113,-8.8,-7,-10.5,28,50,0.4,4,-5.3
20160114,-5.3,-2.1,-8.5,25,41,0.2,2,0.6
20160115,0.6,4.2,-3,10,32,1.8,0,-0.5
20160116,-0.5,3.5,-4.4,30,63,0.8,0,-5.3
20160117,-5.3,0.1,-10.6,26,46,0,0,-9.8
20160118,-9.8,-7.8,-11.8,30,52,2.2,24,-9.2
20160119,-9.2,-3.9,-14.5,31,67,0,0,-6
20160120,-6,-3.9,-8.1,29,35,0,0,-6.9
20160121,-6.9,-3.8,-10,0,0,0.4,6,-7.3
20160122,-7.3,-2.2,-12.4,0,0,0,0,-7.5
20160123,-7.5,-3.7,-11.2,36,32,0,0,-5.9
20160124,-5.9,-0.8,-11,0,0,0,0,1.4
20160125,1.4,4,-1.3,20,35,0,0,3.5
20160126,3.5,6.6,0.4,24,70,0.2,0,-1.1
20160127,-1.1,1,-3.2,22,57,0.2,2,-0.1
20160128,-0.1,1.6,-1.8,21,54,1,8,-5.5
20160129,-5.5,-0.3,-10.7,28,50,0,0,-1.3
20160130,-1.3,5.9,-8.4,24,46,0,0,5.7
20160131,5.7,10.6,0.7,23,52,2.6,0,4.1
20160201,4.1,8.8,-0.6,29,50,0,0,0
20160202,0,2.8,-2.8,10,56,3.6,0,8.9
20160203,8.9,16,1.7,25,72,2.8,0,1.1
20160204,1.1,4,-1.8,27,44,0,0,-0.2
20160205,-0.2,2.8,-3.2,23,33,0,0,1.1
20160206,1.1,4.3,-2.1,26,52,0,0,1.8
20160207,1.8,6.1,-2.5,15,33,0,0,1.7
20160208,1.7,5.2,-1.8,9,44,1,10,-0.9
20160209,-0.9,1.4,-3.1,9,46,1.2,18,-6.7
20160210,-6.7,-1.1,-12.2,30,43,1,10,-13.2
20160211,-13.2,-9.6,-16.7,30,54,0,0,-10
20160212,-10,-4.1,-15.9,27,57,0.8,10,-21.2
20160213,-21.2,-16,-26.3,32,63,0,0,-17.4
20160214,-17.4,-10.7,-24,0,0,0,0,-6.2
20160215,-6.2,-1,-11.4,16,32,0.4,2,-1.1
20160216,-1.1,-0.4,-1.7,31,39,7,70,-6.2
20160217,-6.2,-1.2,-11.1,31,50,0.8,8,-9.7
20160218,-9.7,-4.5,-14.9,0,0,0,0,2.2
20160219,2.2,9.4,-5,26,61,-99999,0,7.6
20160220,7.6,12.5,2.6,26,67,0,0,1.9
20160221,1.9,5.9,-2.2,36,41,0,0,-2.3
20160222,-2.3,0.6,-5.2,35,37,-99999,0,-1
20160223,-1,1.9,-3.8,0,0,0,0,0.5
20160224,0.5,2.1,-1.2,6,52,24,30,-2.6
20160225,-2.6,0.8,-5.9,35,74,2.6,20,-7
20160226,-7,-3.3,-10.6,32,52,0,0,-0.8
20160227,-0.8,4.5,-6.1,22,63,0,0,7.9
20160228,7.9,14,1.7,23,72,0,0,1.3
20160229,1.3,10.2,-7.6,29,104,0.4,0,-9.2
20160301,-9.2,-7.4,-10.9,33,57,9.6,94,-7.8
20160302,-7.8,-4.6,-10.9,32,52,0.4,4,-6.8
20160303,-6.8,-4,-9.6,0,0,0.6,12,-3
20160304,-3,-0.1,-5.9,0,0,0.2,2,-3
20160305,-3,-0.2,-5.7,0,0,0,0,-2.8
